,Date,Sun,Moon,Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto,North Node,True Node,Chiron,Ascendant,MC,Descendant,IC,Lilith,Ceres,Pallas,Juno,Vesta
87,1989-01-22 23:00:00,Aquarius,Leo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
88,1989-01-23 06:00:00,Aquarius,Leo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Aries,Aquarius,Virgo,Sagittarius
89,1989-01-23 12:00:00,Aquarius,Leo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Gemini,Aquarius,Sagittarius,Leo,Virgo,Aries,Aquarius,Virgo,Sagittarius
90,1989-01-23 18:00:00,Aquarius,Leo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Aries,Aquarius,Virgo,Sagittarius
91,1989-01-23 23:00:00,Aquarius,Leo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
92,1989-01-24 06:00:00,Aquarius,Virgo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Aries,Aquarius,Virgo,Sagittarius
93,1989-01-24 12:00:00,Aquarius,Virgo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Gemini,Aquarius,Sagittarius,Leo,Virgo,Aries,Aquarius,Virgo,Sagittarius
94,1989-01-24 18:00:00,Aquarius,Virgo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Aries,Aquarius,Virgo,Sagittarius
95,1989-01-24 23:00:00,Aquarius,Virgo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
96,1989-01-25 06:00:00,Aquarius,Virgo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Capricorn,Scorpio,Cancer,Taurus,Virgo,Aries,Aquarius,Virgo,Sagittarius
97,1989-01-25 12:00:00,Aquarius,Virgo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Gemini,Aquarius,Sagittarius,Leo,Virgo,Aries,Aquarius,Virgo,Sagittarius
98,1989-01-25 18:00:00,Aquarius,Virgo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Leo,Taurus,Aquarius,Scorpio,Virgo,Aries,Aquarius,Virgo,Sagittarius
99,1989-01-25 23:00:00,Aquarius,Virgo,Aquarius,Capricorn,Taurus,Taurus,Capricorn,Capricorn,Capricorn,Scorpio,Pisces,Pisces,Cancer,Libra,Cancer,Aries,Capricorn,Virgo,Aries,Aquarius,Virgo,Sagittarius
